Temp,Day,Symbiont,Infect
27,3,C1,0
27,3,C1,0
27,3,C1,0
27,3,C1,0
27,3,C1,0
27,3,C1,0
27,3,C1,0
27,3,C1,0
27,3,C1,1
27,3,C1,1
27,3,C1,1
27,3,C1,1
27,3,C1,1
27,3,C1,1
27,3,C1,1
27,3,C1,1
27,3,C1,1
27,3,C1,1
27,7,C1,0
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,7,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
27,14,C1,1
30,3,C1,0
30,3,C1,0
30,3,C1,0
30,3,C1,0
30,3,C1,0
30,3,C1,0
30,3,C1,0
30,3,C1,0
30,3,C1,0
30,3,C1,0
30,3,C1,1
30,3,C1,1
30,3,C1,1
30,3,C1,1
30,3,C1,1
30,3,C1,1
30,7,C1,0
30,7,C1,0
30,7,C1,0
30,7,C1,1
30,7,C1,1
30,7,C1,1
30,7,C1,1
30,7,C1,1
30,7,C1,1
30,7,C1,1
30,7,C1,1
30,7,C1,1
30,7,C1,1
30,7,C1,1
30,7,C1,1
30,7,C1,1
30,14,C1,0
30,14,C1,0
30,14,C1,1
30,14,C1,1
30,14,C1,1
30,14,C1,1
30,14,C1,1
30,14,C1,1
30,14,C1,1
30,14,C1,1
30,14,C1,1
30,14,C1,1
30,14,C1,1
30,14,C1,1
31,3,C1,0
31,3,C1,0
31,3,C1,0
31,3,C1,0
31,3,C1,0
31,3,C1,0
31,3,C1,0
31,3,C1,0
31,3,C1,0
31,3,C1,0
31,3,C1,0
31,3,C1,0
31,3,C1,1
31,3,C1,1
31,3,C1,1
31,3,C1,1
31,3,C1,1
31,7,C1,0
31,7,C1,0
31,7,C1,0
31,7,C1,0
31,7,C1,0
31,7,C1,0
31,7,C1,0
31,7,C1,0
31,7,C1,0
31,7,C1,0
31,7,C1,0
31,7,C1,1
31,7,C1,1
31,7,C1,1
31,7,C1,1
31,7,C1,1
31,7,C1,1
31,14,C1,0
31,14,C1,0
31,14,C1,0
31,14,C1,0
31,14,C1,0
31,14,C1,0
31,14,C1,0
31,14,C1,1
31,14,C1,1
31,14,C1,1
27,3,D1,0
27,3,D1,0
27,3,D1,0
27,3,D1,0
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,3,D1,1
27,7,D1,0
27,7,D1,0
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,7,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
27,14,D1,1
30,3,D1,0
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,3,D1,1
30,7,D1,0
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,7,D1,1
30,14,D1,0
30,14,D1,1
30,14,D1,1
30,14,D1,1
30,14,D1,1
30,14,D1,1
30,14,D1,1
30,14,D1,1
30,14,D1,1
30,14,D1,1
31,3,D1,0
31,3,D1,1
31,3,D1,1
31,3,D1,1
31,3,D1,1
31,3,D1,1
31,3,D1,1
31,3,D1,1
31,3,D1,1
31,3,D1,1
31,3,D1,1
31,3,D1,1
31,3,D1,1
31,3,D1,1
31,7,D1,0
31,7,D1,1
31,7,D1,1
31,7,D1,1
31,7,D1,1
31,7,D1,1
31,7,D1,1
31,7,D1,1
31,7,D1,1
31,7,D1,1
31,7,D1,1
27,3,F1,0
27,3,F1,0
27,3,F1,0
27,3,F1,0
27,3,F1,0
27,3,F1,0
27,3,F1,0
27,3,F1,1
27,3,F1,1
27,3,F1,1
27,3,F1,1
27,3,F1,1
27,3,F1,1
27,3,F1,1
27,3,F1,1
27,3,F1,1
27,3,F1,1
27,7,F1,0
27,7,F1,0
27,7,F1,0
27,7,F1,0
27,7,F1,0
27,7,F1,0
27,7,F1,0
27,7,F1,0
27,7,F1,0
27,7,F1,1
27,7,F1,1
27,7,F1,1
27,7,F1,1
27,7,F1,1
27,7,F1,1
27,7,F1,1
27,7,F1,1
27,7,F1,1
27,14,F1,0
27,14,F1,0
27,14,F1,0
27,14,F1,0
27,14,F1,0
27,14,F1,0
27,14,F1,0
27,14,F1,0
27,14,F1,0
27,14,F1,0
27,14,F1,1
27,14,F1,1
27,14,F1,1
27,14,F1,1
27,14,F1,1
27,14,F1,1
27,14,F1,1
27,14,F1,1
27,14,F1,1
30,3,F1,0
30,3,F1,0
30,3,F1,0
30,3,F1,0
30,3,F1,0
30,3,F1,0
30,3,F1,0
30,3,F1,0
30,3,F1,0
30,3,F1,1
30,3,F1,1
30,3,F1,1
30,3,F1,1
30,3,F1,1
30,3,F1,1
30,3,F1,1
30,3,F1,1
30,7,F1,0
30,7,F1,0
30,7,F1,0
30,7,F1,0
30,7,F1,0
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,7,F1,1
30,14,F1,0
30,14,F1,0
30,14,F1,0
30,14,F1,0
30,14,F1,0
30,14,F1,0
30,14,F1,1
30,14,F1,1
30,14,F1,1
30,14,F1,1
30,14,F1,1
30,14,F1,1
30,14,F1,1
30,14,F1,1
30,14,F1,1
30,14,F1,1
30,14,F1,1
30,14,F1,1
31,3,F1,0
31,3,F1,0
31,3,F1,0
31,3,F1,0
31,3,F1,0
31,3,F1,0
31,3,F1,0
31,3,F1,0
31,3,F1,1
31,3,F1,1
31,3,F1,1
31,3,F1,1
31,3,F1,1
31,3,F1,1
31,3,F1,1
31,3,F1,1
31,3,F1,1
31,3,F1,1
31,3,F1,1
31,7,F1,0
31,7,F1,0
31,7,F1,0
31,7,F1,0
31,7,F1,0
31,7,F1,0
31,7,F1,1
31,7,F1,1
31,7,F1,1
31,7,F1,1
31,7,F1,1
31,7,F1,1
31,7,F1,1
31,7,F1,1
31,7,F1,1
31,7,F1,1
31,14,F1,1
31,14,F1,1
31,14,F1,1
27,3,G3,0
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,3,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,7,G3,1
27,14,G3,0
27,14,G3,0
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
27,14,G3,1
30,3,G3,0
30,3,G3,0
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,3,G3,1
30,7,G3,0
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,7,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
30,14,G3,1
31,3,G3,0
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,3,G3,1
31,7,G3,0
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,7,G3,1
31,14,G3,1
31,14,G3,1
31,14,G3,1
31,14,G3,1
31,14,G3,1
31,14,G3,1
31,14,G3,1
31,14,G3,1
31,14,G3,1
31,14,G3,1
31,14,G3,1